model,class,precision,recall,f1,support
mobilenetv2,0,0.7298,0.7774,0.7529,337
mobilenetv2,1,0.8841,0.7649,0.8202,319
mobilenetv2,2,0.9033,0.877,0.89,309
mobilenetv2,3,0.8872,0.5635,0.6892,307
mobilenetv2,4,0.7542,0.8464,0.7976,319
mobilenetv2,5,0.9233,0.8746,0.8983,303
mobilenetv2,6,0.7096,0.941,0.8091,322
mobilenetv2,7,0.7387,0.6951,0.7162,305
mobilenetv2,8,0.9038,0.9143,0.909,2732
inceptionv3,0,0.8506,0.8279,0.8391,337
inceptionv3,1,0.8954,0.9122,0.9037,319
inceptionv3,2,0.9498,0.9191,0.9342,309
inceptionv3,3,0.9339,0.7362,0.8233,307
inceptionv3,4,0.8576,0.906,0.8811,319
inceptionv3,5,0.9279,0.934,0.9309,303
inceptionv3,6,0.8855,0.913,0.8991,322
inceptionv3,7,0.8566,0.7836,0.8185,305
inceptionv3,8,0.928,0.9531,0.9404,2732
mobilenetv3small,0,0.8604,0.7864,0.8217,337
mobilenetv3small,1,0.8296,0.8088,0.819,319
mobilenetv3small,2,0.9159,0.9159,0.9159,309
mobilenetv3small,3,0.9145,0.6971,0.7911,307
mobilenetv3small,4,0.8694,0.9185,0.8933,319
mobilenetv3small,5,0.9486,0.9142,0.9311,303
mobilenetv3small,6,0.8475,0.9317,0.8876,322
mobilenetv3small,7,0.829,0.7311,0.777,305
mobilenetv3small,8,0.9148,0.9506,0.9323,2732
efficientnetv2b2,0,0.8732,0.8991,0.886,337
efficientnetv2b2,1,0.9096,0.9467,0.9278,319
efficientnetv2b2,2,0.9673,0.9579,0.9626,309
efficientnetv2b2,3,0.9412,0.8339,0.8843,307
efficientnetv2b2,4,0.8939,0.9248,0.9091,319
efficientnetv2b2,5,0.9479,0.9604,0.9541,303
efficientnetv2b2,6,0.9118,0.9627,0.9366,322
efficientnetv2b2,7,0.8129,0.8689,0.8399,305
efficientnetv2b2,8,0.9655,0.9517,0.9585,2732
nasnetmobile,0,0.8218,0.7389,0.7781,337
nasnetmobile,1,0.8521,0.8307,0.8413,319
nasnetmobile,2,0.9422,0.8447,0.8908,309
nasnetmobile,3,0.9118,0.6059,0.728,307
nasnetmobile,4,0.8669,0.8777,0.8723,319
nasnetmobile,5,0.9049,0.9109,0.9079,303
nasnetmobile,6,0.8384,0.9348,0.884,322
nasnetmobile,7,0.7624,0.7574,0.7599,305
nasnetmobile,8,0.8944,0.9389,0.9161,2732
efficientnetv2b3,0,0.8647,0.8724,0.8685,337
efficientnetv2b3,1,0.9579,0.9279,0.9427,319
efficientnetv2b3,2,0.9678,0.9741,0.971,309
efficientnetv2b3,3,0.9764,0.8078,0.8841,307
efficientnetv2b3,4,0.8843,0.9342,0.9085,319
efficientnetv2b3,5,0.9664,0.9505,0.9584,303
efficientnetv2b3,6,0.9199,0.9627,0.9408,322
efficientnetv2b3,7,0.8322,0.8295,0.8309,305
efficientnetv2b3,8,0.958,0.9689,0.9634,2732
efficientnetv2b1,0,0.8649,0.8546,0.8597,337
efficientnetv2b1,1,0.8988,0.9185,0.9085,319
efficientnetv2b1,2,0.9553,0.9676,0.9614,309
efficientnetv2b1,3,0.9504,0.7492,0.8379,307
efficientnetv2b1,4,0.8967,0.9248,0.9105,319
efficientnetv2b1,5,0.9404,0.9373,0.9388,303
efficientnetv2b1,6,0.9319,0.9348,0.9333,322
efficientnetv2b1,7,0.7804,0.8623,0.8193,305
efficientnetv2b1,8,0.9512,0.9568,0.954,2732
mobilenetv3large,0,0.8274,0.8249,0.8262,337
mobilenetv3large,1,0.9,0.9028,0.9014,319
mobilenetv3large,2,0.8813,0.9612,0.9195,309
mobilenetv3large,3,0.9281,0.8827,0.9048,307
mobilenetv3large,4,0.8963,0.9216,0.9088,319
mobilenetv3large,5,0.9276,0.9307,0.9292,303
mobilenetv3large,6,0.9215,0.9472,0.9342,322
mobilenetv3large,7,0.8188,0.8,0.8093,305
mobilenetv3large,8,0.956,0.9473,0.9516,2732
efficientnetv2b0,0,0.8665,0.8279,0.8467,337
efficientnetv2b0,1,0.8708,0.8871,0.8789,319
efficientnetv2b0,2,0.9475,0.9353,0.9414,309
efficientnetv2b0,3,0.9091,0.7492,0.8214,307
efficientnetv2b0,4,0.8838,0.906,0.8947,319
efficientnetv2b0,5,0.9129,0.934,0.9233,303
efficientnetv2b0,6,0.8689,0.9472,0.9064,322
efficientnetv2b0,7,0.8094,0.7934,0.8013,305
efficientnetv2b0,8,0.941,0.951,0.9459,2732
resnet101v2,0,0.8323,0.7953,0.8134,337
resnet101v2,1,0.8247,0.8997,0.8606,319
resnet101v2,2,0.9631,0.9288,0.9456,309
resnet101v2,3,0.9299,0.8208,0.872,307
resnet101v2,4,0.8506,0.9279,0.8876,319
resnet101v2,5,0.9614,0.9043,0.932,303
resnet101v2,6,0.9482,0.9099,0.9287,322
resnet101v2,7,0.7937,0.8328,0.8128,305
resnet101v2,8,0.9415,0.9484,0.9449,2732
resnet50,0,0.8869,0.7448,0.8097,337
resnet50,1,0.8936,0.9216,0.9074,319
resnet50,2,0.97,0.8382,0.8993,309
resnet50,3,0.9333,0.7752,0.847,307
resnet50,4,0.7588,0.9467,0.8424,319
resnet50,5,0.9585,0.9142,0.9358,303
resnet50,6,0.9015,0.9379,0.9193,322
resnet50,7,0.7335,0.8754,0.7982,305
resnet50,8,0.9469,0.9473,0.9471,2732
