,f1,f1,f1,f1,f1,f1,f1,f1,f1,precision,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,recall
class,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8
model,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficientnetv2b0,0.8467,0.8789,0.9414,0.8214,0.8947,0.9233,0.9064,0.8013,0.9459,0.8665,0.8708,0.9475,0.9091,0.8838,0.9129,0.8689,0.8094,0.941,0.8279,0.8871,0.9353,0.7492,0.906,0.934,0.9472,0.7934,0.951
efficientnetv2b1,0.8597,0.9085,0.9614,0.8379,0.9105,0.9388,0.9333,0.8193,0.954,0.8649,0.8988,0.9553,0.9504,0.8967,0.9404,0.9319,0.7804,0.9512,0.8546,0.9185,0.9676,0.7492,0.9248,0.9373,0.9348,0.8623,0.9568
efficientnetv2b2,0.886,0.9278,0.9626,0.8843,0.9091,0.9541,0.9366,0.8399,0.9585,0.8732,0.9096,0.9673,0.9412,0.8939,0.9479,0.9118,0.8129,0.9655,0.8991,0.9467,0.9579,0.8339,0.9248,0.9604,0.9627,0.8689,0.9517
efficientnetv2b3,0.8685,0.9427,0.971,0.8841,0.9085,0.9584,0.9408,0.8309,0.9634,0.8647,0.9579,0.9678,0.9764,0.8843,0.9664,0.9199,0.8322,0.958,0.8724,0.9279,0.9741,0.8078,0.9342,0.9505,0.9627,0.8295,0.9689
inceptionv3,0.8391,0.9037,0.9342,0.8233,0.8811,0.9309,0.8991,0.8185,0.9404,0.8506,0.8954,0.9498,0.9339,0.8576,0.9279,0.8855,0.8566,0.928,0.8279,0.9122,0.9191,0.7362,0.906,0.934,0.913,0.7836,0.9531
mobilenetv2,0.7529,0.8202,0.89,0.6892,0.7976,0.8983,0.8091,0.7162,0.909,0.7298,0.8841,0.9033,0.8872,0.7542,0.9233,0.7096,0.7387,0.9038,0.7774,0.7649,0.877,0.5635,0.8464,0.8746,0.941,0.6951,0.9143
mobilenetv3large,0.8262,0.9014,0.9195,0.9048,0.9088,0.9292,0.9342,0.8093,0.9516,0.8274,0.9,0.8813,0.9281,0.8963,0.9276,0.9215,0.8188,0.956,0.8249,0.9028,0.9612,0.8827,0.9216,0.9307,0.9472,0.8,0.9473
mobilenetv3small,0.8217,0.819,0.9159,0.7911,0.8933,0.9311,0.8876,0.777,0.9323,0.8604,0.8296,0.9159,0.9145,0.8694,0.9486,0.8475,0.829,0.9148,0.7864,0.8088,0.9159,0.6971,0.9185,0.9142,0.9317,0.7311,0.9506
nasnetmobile,0.7781,0.8413,0.8908,0.728,0.8723,0.9079,0.884,0.7599,0.9161,0.8218,0.8521,0.9422,0.9118,0.8669,0.9049,0.8384,0.7624,0.8944,0.7389,0.8307,0.8447,0.6059,0.8777,0.9109,0.9348,0.7574,0.9389
resnet101v2,0.8134,0.8606,0.9456,0.872,0.8876,0.932,0.9287,0.8128,0.9449,0.8323,0.8247,0.9631,0.9299,0.8506,0.9614,0.9482,0.7937,0.9415,0.7953,0.8997,0.9288,0.8208,0.9279,0.9043,0.9099,0.8328,0.9484
resnet50,0.8097,0.9074,0.8993,0.847,0.8424,0.9358,0.9193,0.7982,0.9471,0.8869,0.8936,0.97,0.9333,0.7588,0.9585,0.9015,0.7335,0.9469,0.7448,0.9216,0.8382,0.7752,0.9467,0.9142,0.9379,0.8754,0.9473
