model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,support_total
report_mobilenetv2,0.8563,0.826,0.806,0.8092,0.861,0.8563,0.8549,5253
report_inceptionv3,0.9117,0.8984,0.8761,0.8856,0.9117,0.9117,0.9107,5253
report_mobilenetv3small,0.8966,0.8811,0.8505,0.8632,0.8962,0.8966,0.8949,5253
report_efficientnetv2b2,0.9362,0.9137,0.9229,0.9177,0.9373,0.9362,0.9364,5253
report_nasnetmobile,0.8784,0.8661,0.8266,0.842,0.8788,0.8784,0.876,5253
report_efficientnetv2b3,0.9395,0.9253,0.9142,0.9187,0.94,0.9395,0.9392,5253
report_efficientnetv2b1,0.9265,0.9078,0.9007,0.9026,0.9277,0.9265,0.9262,5253
report_mobilenetv3large,0.9227,0.8952,0.9021,0.8983,0.923,0.9227,0.9227,5253
report_efficientnetv2b0,0.9134,0.89,0.8812,0.8845,0.9133,0.9134,0.9127,5253
report_resnet101v2,0.9141,0.8939,0.8853,0.8886,0.9155,0.9141,0.9142,5253
report_resnet50,0.9096,0.887,0.8779,0.8785,0.9145,0.9096,0.9099,5253
