[Real] Latência Média (ms),[Real] FPS Média,Modelo,Acurácia Média,Precisão Média,Recall Médio,F1 Médio,weighted_precision,weighted_recall,weighted_f1,support_total,Parâmetros (M),GFLOPs,GMAC,Latência Média (ms),FPS Média
59.45,16.82,mobilenetv2,0.8563,0.826,0.806,0.8092,0.861,0.8563,0.8549,5253,2.59,0.61,0.31,2.47,405.35
72.18,13.85,mobilenetv3large,0.9227,0.8952,0.9021,0.8983,0.923,0.9227,0.9227,5253,3.24,0.44,0.22,2.56,390.31
62.26,16.06,mobilenetv3small,0.8966,0.8811,0.8505,0.8632,0.8962,0.8966,0.8949,5253,1.09,0.12,0.06,2.06,485.96
93.91,10.65,resnet50,0.9096,0.887,0.8779,0.8785,0.9145,0.9096,0.9099,5253,24.11,7.75,3.88,6.1,164.02
173.12,5.78,resnet101v2,0.9141,0.8939,0.8853,0.8886,0.9155,0.9141,0.9142,5253,43.15,14.43,7.22,9.41,106.25
131.96,7.58,inceptionv3,0.9117,0.8984,0.8761,0.8856,0.9117,0.9117,0.9107,5253,22.33,11.47,5.73,7.29,137.26
267.95,3.73,nasnetmobile,0.8784,0.8661,0.8266,0.842,0.8788,0.8784,0.876,5253,4.54,1.15,0.57,9.13,109.56
134.69,7.42,efficientnetv2b0,0.9134,0.89,0.8812,0.8845,0.9133,0.9134,0.9127,5253,6.25,1.46,0.73,3.49,286.75
165.85,6.03,efficientnetv2b1,0.9265,0.9078,0.9007,0.9026,0.9277,0.9265,0.9262,5253,7.26,2.42,1.21,4.14,241.3
171.03,5.85,efficientnetv2b2,0.9362,0.9137,0.9229,0.9177,0.9373,0.9362,0.9364,5253,9.13,3.44,1.72,4.73,211.43
202.38,4.94,efficientnetv2b3,0.9395,0.9253,0.9142,0.9187,0.94,0.9395,0.9392,5253,13.33,6.09,3.05,6.29,158.98
