model,class,precision,recall,f1,support
mobilenetv2,0,0.7337,0.8036,0.767,168
mobilenetv2,1,0.8808,0.8365,0.8581,159
mobilenetv2,2,0.9338,0.9156,0.9246,154
mobilenetv2,3,0.879,0.7078,0.7842,154
mobilenetv2,4,0.8276,0.9057,0.8649,159
mobilenetv2,5,0.9267,0.9145,0.9205,152
mobilenetv2,6,0.7217,0.9503,0.8204,161
mobilenetv2,7,0.7635,0.7386,0.7508,153
mobilenetv2,8,0.9362,0.9129,0.9244,1366
inceptionv3,0,0.8313,0.8214,0.8263,168
inceptionv3,1,0.9128,0.8553,0.8831,159
inceptionv3,2,0.9267,0.9026,0.9145,154
inceptionv3,3,0.9706,0.6429,0.7734,154
inceptionv3,4,0.84,0.9245,0.8802,159
inceptionv3,5,0.8931,0.9342,0.9132,152
inceptionv3,6,0.8457,0.9193,0.881,161
inceptionv3,7,0.876,0.7386,0.8014,153
inceptionv3,8,0.9141,0.951,0.9322,1366
mobilenetv3small,0,0.8036,0.8036,0.8036,168
mobilenetv3small,1,0.8302,0.8302,0.8302,159
mobilenetv3small,2,0.9161,0.9221,0.9191,154
mobilenetv3small,3,0.9664,0.7468,0.8425,154
mobilenetv3small,4,0.8772,0.9434,0.9091,159
mobilenetv3small,5,0.9514,0.9013,0.9257,152
mobilenetv3small,6,0.8249,0.9068,0.8639,161
mobilenetv3small,7,0.8689,0.6928,0.7709,153
mobilenetv3small,8,0.915,0.9451,0.9298,1366
efficientnetv2b2,0,0.828,0.9167,0.8701,168
efficientnetv2b2,1,0.9423,0.9245,0.9333,159
efficientnetv2b2,2,0.9487,0.961,0.9548,154
efficientnetv2b2,3,0.9328,0.8117,0.8681,154
efficientnetv2b2,4,0.8935,0.9497,0.9207,159
efficientnetv2b2,5,0.9662,0.9408,0.9533,152
efficientnetv2b2,6,0.8827,0.9814,0.9294,161
efficientnetv2b2,7,0.8086,0.8562,0.8317,153
efficientnetv2b2,8,0.9686,0.9473,0.9578,1366
nasnetmobile,0,0.7871,0.7262,0.7554,168
nasnetmobile,1,0.7831,0.8176,0.8,159
nasnetmobile,2,0.9195,0.8896,0.9043,154
nasnetmobile,3,0.9643,0.526,0.6807,154
nasnetmobile,4,0.8773,0.8994,0.8882,159
nasnetmobile,5,0.8662,0.8947,0.8803,152
nasnetmobile,6,0.7512,0.9379,0.8343,161
nasnetmobile,7,0.8333,0.6863,0.7527,153
nasnetmobile,8,0.894,0.9327,0.9129,1366
efficientnetv2b3,0,0.85,0.9107,0.8793,168
efficientnetv2b3,1,0.9477,0.9119,0.9295,159
efficientnetv2b3,2,0.9494,0.974,0.9615,154
efficientnetv2b3,3,0.9919,0.7922,0.8809,154
efficientnetv2b3,4,0.9313,0.9371,0.9342,159
efficientnetv2b3,5,0.9484,0.9671,0.9577,152
efficientnetv2b3,6,0.8659,0.9627,0.9118,161
efficientnetv2b3,7,0.8803,0.817,0.8475,153
efficientnetv2b3,8,0.9615,0.9685,0.965,1366
efficientnetv2b1,0,0.8457,0.881,0.863,168
efficientnetv2b1,1,0.8841,0.9119,0.8978,159
efficientnetv2b1,2,0.9557,0.9805,0.9679,154
efficientnetv2b1,3,0.9658,0.7338,0.8339,154
efficientnetv2b1,4,0.8922,0.9371,0.9141,159
efficientnetv2b1,5,0.9226,0.9408,0.9316,152
efficientnetv2b1,6,0.8994,0.9441,0.9212,161
efficientnetv2b1,7,0.7725,0.8431,0.8063,153
efficientnetv2b1,8,0.9594,0.951,0.9551,1366
mobilenetv3large,0,0.8647,0.875,0.8698,168
mobilenetv3large,1,0.9427,0.9308,0.9367,159
mobilenetv3large,2,0.9481,0.9481,0.9481,154
mobilenetv3large,3,0.9856,0.8896,0.9352,154
mobilenetv3large,4,0.9146,0.9434,0.9288,159
mobilenetv3large,5,0.9474,0.9474,0.9474,152
mobilenetv3large,6,0.9321,0.9379,0.935,161
mobilenetv3large,7,0.8415,0.902,0.8707,153
mobilenetv3large,8,0.9663,0.9649,0.9656,1366
efficientnetv2b0,0,0.8868,0.8393,0.8624,168
efficientnetv2b0,1,0.8343,0.8868,0.8598,159
efficientnetv2b0,2,0.9304,0.9545,0.9423,154
efficientnetv2b0,3,0.9248,0.7987,0.8571,154
efficientnetv2b0,4,0.897,0.9308,0.9136,159
efficientnetv2b0,5,0.8994,0.9408,0.9196,152
efficientnetv2b0,6,0.8539,0.9441,0.8968,161
efficientnetv2b0,7,0.8414,0.7974,0.8188,153
efficientnetv2b0,8,0.9515,0.9473,0.9494,1366
resnet101v2,0,0.8365,0.7917,0.8135,168
resnet101v2,1,0.882,0.8931,0.8875,159
resnet101v2,2,0.9308,0.961,0.9457,154
resnet101v2,3,0.9624,0.8312,0.892,154
resnet101v2,4,0.8588,0.956,0.9048,159
resnet101v2,5,0.9379,0.8947,0.9158,152
resnet101v2,6,0.8713,0.9255,0.8976,161
resnet101v2,7,0.8101,0.8366,0.8232,153
resnet101v2,8,0.9523,0.9502,0.9513,1366
resnet50,0,0.8,0.7619,0.7805,168
resnet50,1,0.8371,0.9371,0.8843,159
resnet50,2,0.9635,0.8571,0.9072,154
resnet50,3,0.9618,0.8182,0.8842,154
resnet50,4,0.8415,0.9686,0.9006,159
resnet50,5,0.9784,0.8947,0.9347,152
resnet50,6,0.9329,0.9503,0.9415,161
resnet50,7,0.7925,0.8235,0.8077,153
resnet50,8,0.9455,0.9517,0.9486,1366
