,f1,f1,f1,f1,f1,f1,f1,f1,f1,precision,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,recall
class,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8
model,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficientnetv2b0,0.8624,0.8598,0.9423,0.8571,0.9136,0.9196,0.8968,0.8188,0.9494,0.8868,0.8343,0.9304,0.9248,0.897,0.8994,0.8539,0.8414,0.9515,0.8393,0.8868,0.9545,0.7987,0.9308,0.9408,0.9441,0.7974,0.9473
efficientnetv2b1,0.863,0.8978,0.9679,0.8339,0.9141,0.9316,0.9212,0.8063,0.9551,0.8457,0.8841,0.9557,0.9658,0.8922,0.9226,0.8994,0.7725,0.9594,0.881,0.9119,0.9805,0.7338,0.9371,0.9408,0.9441,0.8431,0.951
efficientnetv2b2,0.8701,0.9333,0.9548,0.8681,0.9207,0.9533,0.9294,0.8317,0.9578,0.828,0.9423,0.9487,0.9328,0.8935,0.9662,0.8827,0.8086,0.9686,0.9167,0.9245,0.961,0.8117,0.9497,0.9408,0.9814,0.8562,0.9473
efficientnetv2b3,0.8793,0.9295,0.9615,0.8809,0.9342,0.9577,0.9118,0.8475,0.965,0.85,0.9477,0.9494,0.9919,0.9313,0.9484,0.8659,0.8803,0.9615,0.9107,0.9119,0.974,0.7922,0.9371,0.9671,0.9627,0.817,0.9685
inceptionv3,0.8263,0.8831,0.9145,0.7734,0.8802,0.9132,0.881,0.8014,0.9322,0.8313,0.9128,0.9267,0.9706,0.84,0.8931,0.8457,0.876,0.9141,0.8214,0.8553,0.9026,0.6429,0.9245,0.9342,0.9193,0.7386,0.951
mobilenetv2,0.767,0.8581,0.9246,0.7842,0.8649,0.9205,0.8204,0.7508,0.9244,0.7337,0.8808,0.9338,0.879,0.8276,0.9267,0.7217,0.7635,0.9362,0.8036,0.8365,0.9156,0.7078,0.9057,0.9145,0.9503,0.7386,0.9129
mobilenetv3large,0.8698,0.9367,0.9481,0.9352,0.9288,0.9474,0.935,0.8707,0.9656,0.8647,0.9427,0.9481,0.9856,0.9146,0.9474,0.9321,0.8415,0.9663,0.875,0.9308,0.9481,0.8896,0.9434,0.9474,0.9379,0.902,0.9649
mobilenetv3small,0.8036,0.8302,0.9191,0.8425,0.9091,0.9257,0.8639,0.7709,0.9298,0.8036,0.8302,0.9161,0.9664,0.8772,0.9514,0.8249,0.8689,0.915,0.8036,0.8302,0.9221,0.7468,0.9434,0.9013,0.9068,0.6928,0.9451
nasnetmobile,0.7554,0.8,0.9043,0.6807,0.8882,0.8803,0.8343,0.7527,0.9129,0.7871,0.7831,0.9195,0.9643,0.8773,0.8662,0.7512,0.8333,0.894,0.7262,0.8176,0.8896,0.526,0.8994,0.8947,0.9379,0.6863,0.9327
resnet101v2,0.8135,0.8875,0.9457,0.892,0.9048,0.9158,0.8976,0.8232,0.9513,0.8365,0.882,0.9308,0.9624,0.8588,0.9379,0.8713,0.8101,0.9523,0.7917,0.8931,0.961,0.8312,0.956,0.8947,0.9255,0.8366,0.9502
resnet50,0.7805,0.8843,0.9072,0.8842,0.9006,0.9347,0.9415,0.8077,0.9486,0.8,0.8371,0.9635,0.9618,0.8415,0.9784,0.9329,0.7925,0.9455,0.7619,0.9371,0.8571,0.8182,0.9686,0.8947,0.9503,0.8235,0.9517
