[Real] Latência Média (ms),[Real] FPS Média,Modelo,Acurácia Média,Precisão Média,Recall Médio,F1 Médio,weighted_precision,weighted_recall,weighted_f1,support_total,Parâmetros (M),GFLOPs,GMAC,Latência Média (ms),FPS Média
59.76,16.73,mobilenetv2,0.8812,0.8448,0.8539,0.8461,0.886,0.8812,0.8818,2626,2.59,0.61,0.31,2.73,366.71
74.21,13.47,mobilenetv3large,0.944,0.927,0.9266,0.9263,0.9448,0.944,0.9442,2626,3.24,0.44,0.22,2.66,375.52
63.71,15.7,mobilenetv3small,0.8964,0.8837,0.8547,0.8661,0.8974,0.8964,0.8951,2626,1.09,0.12,0.06,2.22,451.43
97.86,10.22,resnet50,0.9155,0.8948,0.8848,0.8877,0.9175,0.9155,0.9154,2626,24.11,7.75,3.88,5.98,167.34
181.4,5.51,resnet101v2,0.9193,0.8936,0.8933,0.8924,0.9202,0.9193,0.9192,2626,43.15,14.43,7.22,9.46,105.75
136.89,7.3,inceptionv3,0.8991,0.89,0.8544,0.8673,0.9007,0.8991,0.8971,2626,22.33,11.47,5.73,7.74,129.22
281.26,3.56,nasnetmobile,0.8679,0.8529,0.8123,0.8232,0.8712,0.8679,0.8643,2626,4.54,1.15,0.57,9.62,104.0
140.57,7.11,efficientnetv2b0,0.9181,0.891,0.8933,0.8911,0.9187,0.9181,0.9178,2626,6.25,1.46,0.73,3.37,296.96
172.26,5.81,efficientnetv2b1,0.925,0.8997,0.9026,0.899,0.9269,0.925,0.9248,2626,7.26,2.42,1.21,4.16,240.62
178.35,5.61,efficientnetv2b2,0.9334,0.9079,0.921,0.9133,0.9355,0.9334,0.9337,2626,9.13,3.44,1.72,4.67,214.26
210.36,4.75,efficientnetv2b3,0.9402,0.9251,0.9157,0.9186,0.9414,0.9402,0.9398,2626,13.33,6.09,3.05,6.28,159.34
